,Voice_Input,Corr_Input,Label
0,Lakhani come back go Scorpio,LopunnyMega Lopunny come bac. Go Skorupi,1
1,litwick switch for lick liki,Litwick switch for Lickilicky,1
2,hydrogen Swad for Cairo,Hydreigon swap for Kyurem,1
3,Remo rate come back go genset,Remoraid come bac. Go Genesect,1
4,hoopa hoopa confined switch for Persian,HoopaHoopa Confined switch for Persian,1
5,no even Swag for latias Mega latias,Noivern swap for LatiasMega Latias,1
6,deoxys Normal Form come back goes your draw,DeoxysNormal Forme come bac. Go Seadra,1
7,katalon switch for well done,Kecleon switch for Beldum,1
8,Agron swap for cofrez,AggronMega Aggron swap for Cofagrigus,1
9,groudon come back go blaziken,GroudonPrimal Groudon come bac. Go BlazikenMega Blaziken,1
10,come back go seyo Mega seyo,Rhyhorn come bac. Go ScizorMega Scizor,1
11,Kataria switch from devil,Altaria switch for Dwebble,1
12,swa,BanetteMega Banette swap for Aurorus,1
13,back go polio app,Entei come bac. Go Poliwrath,1
14,ke switch for blanzo blanken,Inkay switch for BlazikenMega Blaziken,1
15,swap for driller,Togekiss swap for Drilbur,1
16,come back go Mr mime,WormadamPlant Cloak come bac. Go Mr. Mime,1
17,electabuzz switch for molar,Electabuzz switch for Alomomola,1
18,swap for giga 3,Blitzle swap for Gigalith,1
19,come back go back to your,Mr. Mime come bac. Go Bastiodon,1
20,come back go sellers,Doduo come bac. Go Shellos,1
21,quilava switch for Pushya na,Quilava switch for Poochyena,1
22,chances of,Chansey swap for Chimecho,1
23,dustox come back Goli,Dustox come bac. Go Lilligant,1
24,Simmi says switch for yeval Taal,Simisage switch for Yveltal,1
25,music software hit more,MeowsticMale swap for Heatmor,1
26,registry come back go iwsa,Registeel come bac. Go Ivysaur,1
27,tyrogue switch for drip loan,Tyrogue switch for Drifloon,1
28,togepi shop for Vanilla Ace,Togepi swap for Vanillish,1
29,rebellion come back go growlithe,Vivillon come bac. Go Growlithe,1
30,come back go kara co,Ponyta come bac. Go Carracosta,1
31,geodude switch for Rayquaza,Geodude switch for RayquazaMega Rayquaza,1
32,tank floor lamp pant,Stantler swap for Lampent,1
33,go for gadde,Grimer come bac. Go Frogadier,1
34,switch for pumpkaboo,Honedge switch for PumpkabooLarge Size,1
35,blastoise return swap for shuppet,BlastoiseMega Blastoise swap for Shuppet,1
36,cable come back how you go in furnace,Gible come bac. Go Infernape,1
37,stroke take rest toxicroak switch for a gas,Toxicroak switch for Gastly,1
38,come back guard job,GarchompMega Garchomp swap for LandorusIncarnate Forme,1
39,umbreon return go never,Umbreon come bac. Go Noivern,1
40,spinda you stay web spinda you stay web,Spinda  use  Tail Whip,0
41,shell mad use flamethrower,Shelmet  use  Flamethrower,0
42,use Fury cutter,Graveler  use  Fury Cutter,0
43,use teater dance,Mothim  use  Teeter Dance,0
44,use acid,BlastoiseMega Blastoise  use  Acid,0
45,victini use hair,Victini  use  Hail,0
46,net use lovely kiss,Banette  use  Lovely Kiss,0
47,use fire spin,Blastoise  use  Fire Spin,0
48,squirtle squirtle use Rapid spin,Squirtle  use  Rapid Spin,0
49,conquer door use wards dance,Conkeldurr  use  Swords Dance,0
50,Lenovo is swagger,Linoone use Swagger,0
51,youth thunder wave,Bastiodon use Thunder Wave,0
52,throttle use mud slap,RotomHeat Rotom use Mud-Slap,0
53,bonus,Pidove use Bone Rush,0
54,use software,Pyroar use Shock Wave,0
55,use Harden,Murkrow use Harden,0
56,youth fire spin,Shelmet use Fire Spin,0
57,acid armour,Solosis use Acid Armor,0
58,Y barabar use waterfall,Vibrava use Waterfall,0
59,reticent used double edge,Raticate use Double-Edge,0
60,scyther use psycho boost,Scyther use Psycho Boost,0
61,use Hill Bell,Duskull use Heal Bell,0
62,flex use helping hand,Snorlax use Helping Hand,0
63,gold ring use Memento,Walrein use Memento,0
64,use Rand dance,AmpharosMega Ampharos use Rain Dance,0
65,absol use lovely kiss,Absol use Lovely Kiss,0
66,combat used thief,SwampertMega Swampert use Thief,0
67,yanmega use frustration,Yanmega use Frustration,0
68,use Karate job,Staravia use Karate Chop,0
69,diglett use high jump kick,Diglett use Hi Jump Kick,0
70,form u super fan,AegislashShield Forme use Super Fang,0
71,latios use low kick,LatiosMega Latios use Low Kick,0
72,use flamethrower,Lotad use Flamethrower,0
73,Delhi Bird use outrage,Delibird use Outrage,0
74,torque used detect,Torchic use Detect,0
75,lillipup USA weather bol,Lillipup use Weather Ball,0
76,Sable use sonic boom,Sableye use SonicBoom,0
77,Lakshya us light screen,Luxio use Light Screen,0
78,micro use poison string,Murkrow use Poison Sting,0
79,Arc 9 used false swipe,Arcanine use False Swipe,0
